speaker,party,dwnom
Mr JOHNSON of Ohio,1.0,0.758
Ms PINGREE,0.0,-0.475
Mr BLUMENTHAL,0.0,-0.455
Mr MASSIE,1.0,0.999
Mr ENGEL,0.0,-0.326
Mr TIPTON,1.0,0.749
Mr LIPINSKI,0.0,-0.206
Mr COLLINS,1.0,0.037
Mr MARINO,1.0,0.492
Mrs LOWEY,0.0,-0.334
Mr CONYERS,0.0,-0.575
Mr SWALWELL,0.0,-0.367
Ms WAGNER,1.0,0.653
Mr FLORES,1.0,0.811
Mr CLAWSON,1.0,0.95
Mr GARRETT,1.0,0.966
Ms COLLINS,1.0,0.037
Mr BRADY of Texas,1.0,0.77
Mr VEASEY,0.0,-0.365
Mr CONNOLLY,0.0,-0.29
Ms CAPPS,0.0,-0.428
Mr CROWLEY,0.0,-0.428
Mr HANNA,1.0,0.612
Ms BROWN of Florida,0.0,-0.36
Mr SHUSTER,1.0,0.536
Mr POCAN,0.0,-0.635
Mrs FISCHER,1.0,0.587
Mr GIBSON,1.0,0.538
Mr MEEKS,0.0,-0.358
Mr LANCE,1.0,0.691
Mr FORBES,1.0,0.629
Mr CICILLINE,0.0,-0.413
Ms MURKOWSKI,1.0,0.107
Mr CARPER,0.0,-0.264
Mr COOPER,0.0,-0.273
Mr AMODEI,1.0,0.65
Mr PAULSEN,1.0,0.763
Mr COLLINS of Georgia,1.0,0.893
Mr ROGERS of Alabama,1.0,0.472
Mr MURPHY,0.0,-0.549
Mr THOMPSON of Pennsylvania,1.0,0.484
Mr VELA,0.0,-0.288
Mr STEWART,1.0,0.671
Ms WATERS of California,0.0,-0.554
Mr SMITH of Washington,0.0,-0.298
Mr ROGERS of Kentucky,1.0,0.513
Mr MENENDEZ,0.0,-0.438
Mr HOYER,0.0,-0.311
Mr MARKEY,0.0,-0.54
Mr SMITH of Missouri,1.0,0.831
Mr STIVERS,1.0,0.607
Mr CARDIN,0.0,-0.436
Mrs BOXER,0.0,-0.468
Mrs LUMMIS,1.0,0.939
Mr SHELBY,1.0,0.7
Mrs ELLMERS of North Carolina,1.0,0.587
speaker,0.0,0.0
Mr THUNE,1.0,0.595
Mr WHITEHOUSE,0.0,-0.507
Mr HURT of Virginia,1.0,0.799
Mr KENNEDY,0.0,-0.446
Mr KILMER,0.0,-0.278
Ms MIKULSKI,0.0,-0.405
Mrs MURRAY,0.0,-0.369
Ms KELLY of Illinois,0.0,-0.427
Mrs WAGNER,1.0,0.653
Mr FRANKS of Arizona,1.0,0.855
Ms JENKINS,1.0,0.822
Mr McCLINTOCK,1.0,0.998
Mr LARSON of Connecticut,0.0,-0.402
Mr KIRK,1.0,0.324
Mr McNERNEY,0.0,-0.252
Mr VARGAS,0.0,-0.37
Mr DURBIN,0.0,-0.48
Mr SESSIONS,1.0,0.806
Mr HULTGREN,1.0,0.766
Mr LEAHY,0.0,-0.427
Mr GOHMERT,1.0,1.058
Mr MILLER of Florida,1.0,0.872
speaker,0.0,0.0
Mr HAHN,0.0,-0.452
Mr VALADAO,1.0,0.588
Mrs BEATTY,0.0,-0.43
Mr PAUL,1.0,0.951
Mr FINCHER,1.0,0.767
Mr PALLONE,0.0,-0.564
Ms MOORE,0.0,-0.527
Mr POMPEO,1.0,0.837
Mr PRICE of Georgia,1.0,0.925
Mr BOEHNER,1.0,0.748
Mr HUDSON,1.0,0.939
Mr NUGENT,1.0,0.767
Mr KING of IOWA,1.0,0.728
Ms CASTOR of Florida,0.0,-0.4
Mr GIBBS,1.0,0.631
Ms CLARKE of New York,0.0,-0.556
Mr HECK of Washington,0.0,-0.334
Mr REICHERT,1.0,0.553
Ms PELOSI,0.0,-0.388
Mr PETERS,0.0,-0.24
Mr DOGGETT,0.0,-0.419
Mr PAYNE,0.0,-0.493
Ms FUDGE,0.0,-0.511
Mr HOLDING,1.0,0.911
Mr JONES,1.0,0.042
Ms FRANKEL of Florida,0.0,-0.42
Mr CARTER of Texas,1.0,0.501
Mr PITTENGER,1.0,0.844
Mr COATS,1.0,0.478
Ms GABBARD,0.0,-0.286
Mr DUNCAN of South Carolina,1.0,0.967
Mr LOEBSACK,0.0,-0.272
Mr WALDEN,1.0,0.655
Mr SCOTT,1.0,0.733
Mr MEADOWS,1.0,0.833
Mr DONNELLY,0.0,-0.224
Mr SCALISE,1.0,0.784
Mr CLYBURN,0.0,-0.383
Mr COLLINS of New York,1.0,0.566
Mr WITTMAN,1.0,0.667
Mr HARRIS,1.0,0.878
Mr RISCH,1.0,0.792
Ms MATSUI,0.0,-0.438
Mr LEVIN,0.0,-0.342
Mr KEATING,0.0,-0.357
Mr MEEHAN,1.0,0.43
Mr NELSON,0.0,-0.258
Mr UPTON,1.0,0.697
Mr RYAN of Wisconsin,1.0,0.858
Mr JOYCE,1.0,0.545
Mr BUCHANAN,1.0,0.632
Mr FLEMING,1.0,0.814
Mr ROYCE,1.0,0.905
Mr TESTER,0.0,-0.26
Mr HARPER,1.0,0.517
Mr COCHRAN,1.0,0.377
Mrs WALORSKI,1.0,0.594
Mr YOHO,1.0,0.956
Ms DUCKWORTH,0.0,-0.263
Ms ESHOO,0.0,-0.38
Mr WENSTRUP,1.0,0.781
Mr SALMON,1.0,0.854
Mr TAKANO,0.0,-0.502
Mr BURR,1.0,0.527
Mr BENISHEK,1.0,0.88
Mrs DINGELL,0.0,-0.387
Mr LABRADOR,1.0,0.999
Mr CRUZ,1.0,0.878
Mr GRASSLEY,1.0,0.513
Mr ISSA,1.0,0.809
Mr FOSTER,0.0,-0.244
Mr BYRNE,1.0,0.681
Ms CANTWELL,0.0,-0.342
Ms BONAMICI,0.0,-0.419
Ms HEITKAMP,0.0,-0.249
Ms KUSTER,0.0,-0.261
Mr WARNER,0.0,-0.25
Mr DENT,1.0,0.529
Ms ADAMS,0.0,-0.394
Mr STUTZMAN,1.0,0.945
Mr CHAFFETZ,1.0,0.949
Mr FLAKE,1.0,0.404
Ms BUSTOS,0.0,-0.201
Mr GOSAR,1.0,0.807
Mr JOLLY,1.0,0.341
Mr BISHOP of Utah,1.0,0.824
Mr SMITH of New Jersey,1.0,0.413
Mr HIMES,0.0,-0.254
Mr CUELLAR,0.0,-0.208
Mr McCARTHY,0.0,-0.29
Ms AYOTTE,1.0,0.369
Mr CRAPO,1.0,0.805
Mr HONDA,0.0,-0.533
Ms FEINSTEIN,0.0,-0.351
Mr GALLEGO,0.0,-0.194
Mr RIGELL,1.0,0.795
Mr LEWIS,0.0,-0.554
Mr BUCSHON,1.0,0.619
Mr CLEAVER,0.0,-0.42
Mr UDALL,0.0,-0.404
Mr THOMPSON of California,0.0,-0.407
Mr SCHOCK,1.0,0.543
Mr WOMACK,1.0,0.441
Mr BLUNT,1.0,0.507
Mr LEE,1.0,0.973
Mr COOK,1.0,0.632
Mr ALEXANDER,1.0,0.357
Mr KINZINGER of Illinois,1.0,0.607
Mr FATTAH,0.0,-0.37
